name,O,M,R,W,ECON
Colin de Grandhomme,10,0,33,1,3.30
Mitchell Santner,9,0,45,1,5.00
Kagiso Rabada,10,0,42,1,4.20
Lungi Ngidi,10,1,47,1,4.70
Chris Morris,10,0,49,3,4.90
Andile Phehlukwayo,8.3,0,73,1,8.58
Imran Tahir,10,0,33,0,3.30
Mashrafe Mortaza,8,0,56,0,7.00
Mustafizur Rahman,9,0,69,1,7.66
Shakib Al Hasan,6,0,50,0,8.33
Rubel Hossain,9,0,83,0,9.22
Mehidy Hasan Miraz,10,0,59,0,5.90
Soumya Sarkar,8,0,58,3,7.25
Mitchell Starc,10,0,55,2,5.50
Pat Cummins,10,1,65,0,6.50
Glenn Maxwell,3,0,25,0,8.33
Nathan Coulter-Nile,10,0,58,2,5.80
Marcus Stoinis,8,0,54,2,6.75
Adam Zampa,9,0,68,1,7.55
Chris Woakes,5,0,22,1,4.40
Jofra Archer,10,2,52,3,5.20
Mark Wood,8,0,40,3,5.00
Ben Stokes,5,0,16,0,3.20
Moeen Ali,10,0,40,0,4.00
Adil Rashid,10,0,45,2,4.50
Joe Root,2,0,13,0,6.50
Lasith Malinga,10,1,43,4,4.30
Nuwan Pradeep,10,1,38,1,3.80
Dhananjaya de Silva,8,0,32,3,4.00
Thisara Perera,8,0,34,0,4.25
Isuru Udana,8,0,41,2,5.12
Jeevan Mendis,3,0,23,0,7.66
Mujeeb Ur Rahman,10,0,26,1,2.60
Aftab Alam,7,1,54,1,7.71
Gulbadin Naib,9,0,51,2,5.66
Mohammad Nabi,9,0,33,2,3.66
Rashid Khan,10,0,38,1,3.80
Rahmat Shah,5,0,22,1,4.40
Mohammed Shami,9.5,1,40,4,4.06
Jasprit Bumrah,10,1,39,2,3.90
Yuzvendra Chahal,10,0,36,2,3.60
Hardik Pandya,10,1,51,2,5.10
Kuldeep Yadav,10,0,39,0,3.90
Sheldon Cottrell,10,1,56,4,5.60
Kemar Roach,10,2,38,0,3.80
Jason Holder,7,0,42,0,6.00
Oshane Thomas,6,0,30,0,5.00
Carlos Brathwaite,6,0,58,2,9.66
Ashley Nurse,9,0,55,0,6.11
Chris Gayle,2,0,8,1,4.00
Trent Boult,10,1,30,4,3.00
Matt Henry,9,0,76,1,8.44
Lockie Ferguson,10,0,59,3,5.90
James Neesham,6,0,35,1,5.83
Mitchell Santner,10,1,61,0,6.10
Colin de Grandhomme,4,0,22,1,5.50
Kagiso Rabada,10,0,65,0,6.50
Lungi Ngidi,9,0,64,3,7.11
Chris Morris,9,0,61,0,6.77
Andile Phehlukwayo,8,0,49,1,6.12
Imran Tahir,10,0,41,2,4.10
Aiden Markram,4,0,22,1,5.50
Mohammad Hafeez,2,0,11,0,5.50
Mohammad Amir,10,1,49,2,4.90
