name,dismissal,R,B,M,4s,6s,SR,out or not_out
Nathan Lyon,c Markram b Phehlukwayo,3,3,7,0,0,100.00,out
Martin Guptill,c Kohli b Bumrah,1,14,15,0,0,7.14,out
Henry Nicholls,b Jadeja,28,51,87,2,0,54.90,out
Kane Williamson(c),c Jadeja b Chahal,67,95,137,6,0,70.52,out
Ross Taylor,run out (Jadeja),74,90,130,3,1,82.22,out
James Neesham,c Karthik b Pandya,12,18,28,1,0,66.66,out
Colin de Grandhomme,c Dhoni b Kumar,16,10,19,2,0,160.00,out
Tom Latham,c Jadeja b Kumar,10,11,22,0,0,90.90,out
Mitchell Santner,not out,9,6,13,1,0,150.00,not_out
Matt Henry,c Kohli b Kumar,1,2,6,0,0,50.00,out
Trent Boult,not out,3,3,6,0,0,100.00,not_out
KL Rahul,c Latham b Henry,1,7,18,0,0,14.28,out
Rohit Sharma,c Latham b Henry,1,4,7,0,0,25.00,out
Virat Kohli(c),lbw b Boult,1,6,8,0,0,16.66,out
Rishabh Pant,c de Grandhomme b Santner,32,56,89,4,0,57.14,out
Dinesh Karthik,c Neesham b Henry,6,25,29,1,0,24.00,out
Hardik Pandya,c Williamson b Santner,32,62,81,2,0,51.61,out
MS Dhoni,run out (Guptill),50,72,114,1,1,69.44,out
Ravindra Jadeja,c Williamson b Boult,77,59,84,4,4,130.50,out
Bhuvneshwar Kumar,b Ferguson,0,1,10,0,0,0.00,out
Yuzvendra Chahal,c Latham b Neesham,5,5,8,1,0,100.00,out
Jasprit Bumrah,not out,0,0,4,0,0,-,not_out
David Warner,c Bairstow b Woakes,9,11,14,2,0,81.81,out
Aaron Finch(c),lbw b Archer,0,1,6,0,0,0.00,out
Steven Smith,run out (Buttler),85,119,201,6,0,71.42,out
Peter Handscomb,b Woakes,4,12,15,0,0,33.33,out
Alex Carey,c sub (JM Vince) b Rashid,46,70,94,4,0,65.71,out
Marcus Stoinis,lbw b Rashid,0,2,4,0,0,0.00,out
Glenn Maxwell,c Morgan b Archer,22,23,29,2,1,95.65,out
Pat Cummins,c Root b Rashid,6,10,11,0,0,60.00,out
Mitchell Starc,c Buttler b Woakes,29,36,45,1,1,80.55,out
Jason Behrendorff,b Wood,1,4,10,0,0,25.00,out
Nathan Lyon,not out,5,6,8,0,0,83.33,not_out
Jason Roy,c Carey b Cummins,85,65,99,9,5,130.76,out
Jonny Bairstow,lbw b Starc,34,43,88,5,0,79.06,out
Joe Root,not out,49,46,67,8,0,106.52,not_out
Eoin Morgan(c),not out,45,39,55,8,0,115.38,not_out
Martin Guptill,lbw b Woakes,19,18,30,2,1,105.55,out
Henry Nicholls,b Plunkett,55,77,123,4,0,71.42,out
Kane Williamson(c),c Buttler b Plunkett,30,53,77,2,0,56.60,out
Ross Taylor,lbw b Wood,15,31,47,0,0,48.38,out
Tom Latham,c sub (JM Vince) b Woakes,47,56,104,2,1,83.92,out
James Neesham,c Root b Plunkett,19,25,28,3,0,76.00,out
Colin de Grandhomme,c sub (JM Vince) b Woakes,16,28,38,0,0,57.14,out
Mitchell Santner,not out,5,9,19,0,0,55.55,not_out
Matt Henry,b Archer,4,2,7,1,0,200.00,out
Trent Boult,not out,1,2,3,0,0,50.00,not_out
Jason Roy,c Latham b Henry,17,20,24,3,0,85.00,out
Jonny Bairstow,b Ferguson,36,55,79,7,0,65.45,out
Joe Root,c Latham b de Grandhomme,7,30,40,0,0,23.33,out
Eoin Morgan(c),c Ferguson b Neesham,9,22,34,0,0,40.90,out
Ben Stokes,not out,84,98,147,5,2,85.71,not_out
Jos Buttler,c sub (TG Southee) b Ferguson,59,60,94,6,0,98.33,out
Chris Woakes,c Latham b Ferguson,2,4,8,0,0,50.00,out
Liam Plunkett,c Boult b Neesham,10,10,13,1,0,100.00,out
Jofra Archer,b Neesham,0,1,5,0,0,0.00,out
Adil Rashid,run out (Santner/Boult),0,0,7,0,0,-,out
Mark Wood,run out (Neesham/Boult),0,0,3,0,0,-,out
