name,dismissal,R,B,M,4s,6s,SR,out or not_out
Martin Guptill,c Najibullah Zadran b Aftab Alam,0,1,3,0,0,0.00,out
Colin Munro,c Hamid Hassan b Aftab Alam,22,24,38,4,0,91.66,out
Kane Williamson(c),not out,79,99,136,9,0,79.79,not_out
Ross Taylor,b Aftab Alam,48,52,74,6,1,92.30,out
Tom Latham,not out,13,18,27,1,0,72.22,not_out
Rohit Sharma,c Carey b Coulter-Nile,57,70,101,3,1,81.42,out
Shikhar Dhawan,c sub (NM Lyon) b Starc,117,109,163,16,0,107.33,out
Virat Kohli(c),c Cummins b Stoinis,82,77,128,4,2,106.49,out
Hardik Pandya,c Finch b Cummins,48,27,41,4,3,177.77,out
MS Dhoni,c & b Stoinis,27,14,20,3,1,192.85,out
KL Rahul,not out,11,3,6,1,1,366.66,not_out
Kedar Jadhav,not out,0,0,2,0,0,-,not_out
David Warner,c Kumar b Chahal,56,84,111,5,0,66.66,out
Aaron Finch(c),run out (Jadhav/Pandya),36,35,60,3,1,102.85,out
Steven Smith,lbw b Kumar,69,70,115,5,1,98.57,out
Usman Khawaja,b Bumrah,42,39,48,4,1,107.69,out
Glenn Maxwell,c sub (RA Jadeja) b Chahal,28,14,25,5,0,200.00,out
Marcus Stoinis,b Kumar,0,2,3,0,0,0.00,out
Alex Carey,not out,55,35,50,5,1,157.14,not_out
Nathan Coulter-Nile,c Kohli b Bumrah,4,9,22,0,0,44.44,out
Pat Cummins,c Dhoni b Bumrah,8,7,11,1,0,114.28,out
Mitchell Starc,run out (sub [V Shankar]/Kumar),3,3,12,0,0,100.00,out
Adam Zampa,c sub (RA Jadeja) b Kumar,1,3,4,0,0,33.33,out
Quinton de Kock,not out,17,21,37,1,0,80.95,not_out
Hashim Amla,c Gayle b Cottrell,6,7,13,1,0,85.71,out
Aiden Markram,c Hope b Cottrell,5,10,16,1,0,50.00,out
Faf du Plessis(c),not out,0,7,9,0,0,0.00,not_out
Aaron Finch(c),c Mohammad Hafeez b Mohammad Amir,82,84,94,6,4,97.61,out
David Warner,c Imam-ul-Haq b Shaheen Shah Afridi,107,111,161,11,1,96.39,out
Steven Smith,c Asif Ali b Mohammad Hafeez,10,13,28,1,0,76.92,out
Glenn Maxwell,b Shaheen Shah Afridi,20,10,20,2,1,200.00,out
Shaun Marsh,c Shoaib Malik b Mohammad Amir,23,26,46,2,0,88.46,out
Usman Khawaja,c Wahab Riaz b Mohammad Amir,18,16,18,3,0,112.50,out
Alex Carey,lbw b Mohammad Amir,20,21,31,2,0,95.23,out
Nathan Coulter-Nile,c Sarfaraz Ahmed b Wahab Riaz,2,3,9,0,0,66.66,out
Pat Cummins,c Sarfaraz Ahmed b Hasan Ali,2,6,6,0,0,33.33,out
Mitchell Starc,c Shoaib Malik b Mohammad Amir,3,6,10,0,0,50.00,out
Kane Richardson,not out,1,1,3,0,0,100.00,not_out
Imam-ul-Haq,c Carey b Cummins,53,75,107,7,0,70.66,out
Fakhar Zaman,c Richardson b Cummins,0,3,12,0,0,0.00,out
Babar Azam,c Richardson b Coulter-Nile,30,28,37,7,0,107.14,out
Mohammad Hafeez,c Starc b Finch,46,49,69,3,1,93.87,out
Sarfaraz Ahmed(c),run out (Maxwell),40,48,96,1,0,83.33,out
Shoaib Malik,c Carey b Cummins,0,2,4,0,0,0.00,out
Asif Ali,c Carey b Richardson,5,8,9,0,0,62.50,out
Hasan Ali,c Khawaja b Richardson,32,15,17,3,3,213.33,out
Wahab Riaz,c Carey b Starc,45,39,49,2,3,115.38,out
Mohammad Amir,b Starc,0,2,5,0,0,0.00,out
Shaheen Shah Afridi,not out,1,6,5,0,0,16.66,not_out
Chris Gayle,c Bairstow b Plunkett,36,41,57,5,1,87.80,out
Evin Lewis,b Woakes,2,8,14,0,0,25.00,out
Shai Hope,lbw b Wood,11,30,47,1,0,36.66,out
Nicholas Pooran,c Buttler b Archer,63,78,116,3,1,80.76,out
Shimron Hetmyer,c & b Root,39,48,70,4,0,81.25,out
Jason Holder(c),c & b Root,9,10,9,0,1,90.00,out
Andre Russell,c Woakes b Wood,21,16,19,1,2,131.25,out
Carlos Brathwaite,c Buttler b Archer,14,22,39,0,1,63.63,out
Sheldon Cottrell,lbw b Archer,0,1,3,0,0,0.00,out
Oshane Thomas,not out,0,11,23,0,0,0.00,not_out
Shannon Gabriel,b Wood,0,3,7,0,0,0.00,out
Jonny Bairstow,c Brathwaite b Gabriel,45,46,72,7,0,97.82,out
Joe Root,not out,100,94,164,11,0,106.38,not_out
Chris Woakes,c sub (FA Allen) b Gabriel,40,54,78,4,0,74.07,out
Ben Stokes,not out,10,6,12,2,0,166.66,not_out
David Warner,b de Silva,26,48,70,2,0,54.16,out
Aaron Finch(c),c Karunaratne b Udana,153,132,176,15,5,115.90,out
Usman Khawaja,c Udana b de Silva,10,20,21,1,0,50.00,out
Steven Smith,b Malinga,73,59,90,7,1,123.72,out
Glenn Maxwell,not out,46,25,40,5,1,184.00,not_out
Shaun Marsh,c Siriwardana b Udana,3,9,19,0,0,33.33,out
Alex Carey,run out (Udana),4,3,8,0,0,133.33,out
Pat Cummins,run out (Udana),0,1,4,0,0,0.00,out
Mitchell Starc,not out,5,4,7,0,0,125.00,not_out
Dimuth Karunaratne(c),c Maxwell b Richardson,97,108,132,9,0,89.81,out
Kusal Perera,b Starc,52,36,64,5,1,144.44,out
Lahiru Thirimanne,c Carey b Behrendorff,16,26,34,1,0,61.53,out
Kusal Mendis,c Carey b Starc,30,37,68,0,2,81.08,out
Angelo Mathews,c Carey b Cummins,9,11,14,2,0,81.81,out
Milinda Siriwardana,b Starc,3,4,5,0,0,75.00,out
Thisara Perera,c Warner b Starc,7,3,4,0,1,233.33,out
Dhananjaya de Silva,not out,16,30,43,2,0,53.33,not_out
Isuru Udana,c Finch b Richardson,8,8,8,1,0,100.00,out
Lasith Malinga,c Khawaja b Richardson,1,5,9,0,0,20.00,out
Nuwan Pradeep,c Carey b Cummins,0,7,21,0,0,0.00,out
Hazratullah Zazai,c van der Dussen b Rabada,22,23,40,3,0,95.65,out
Noor Ali Zadran,b Imran Tahir,32,58,105,4,0,55.17,out
Rahmat Shah,lbw b Morris,6,22,32,1,0,27.27,out
Hashmatullah Shahidi,c du Plessis b Phehlukwayo,8,22,29,1,0,36.36,out
Asghar Afghan,c & b Imran Tahir,0,5,9,0,0,0.00,out
Mohammad Nabi,b Phehlukwayo,1,2,6,0,0,50.00,out
Ikram Alikhil,c Amla b Morris,9,33,43,0,0,27.27,out
Gulbadin Naib(c),c Markram b Imran Tahir,5,11,12,0,0,45.45,out
Rashid Khan,c van der Dussen b Imran Tahir,35,25,34,6,0,140.00,out
Hamid Hassan,c du Plessis b Morris,0,3,12,0,0,0.00,out
Aftab Alam,not out,0,1,7,0,0,0.00,not_out
Hashim Amla,not out,41,83,105,4,0,49.39,not_out
Quinton de Kock,c Mohammad Nabi b Gulbadin Naib,68,72,84,8,0,94.44,out
Andile Phehlukwayo,not out,17,17,21,2,1,100.00,not_out
KL Rahul,c Babar Azam b Wahab Riaz,57,78,94,3,2,73.07,out
Rohit Sharma,c Wahab Riaz b Hasan Ali,140,113,153,14,3,123.89,out
Virat Kohli(c),c Sarfaraz Ahmed b Mohammad Amir,77,65,105,7,0,118.46,out
Hardik Pandya,c Babar Azam b Mohammad Amir,26,19,24,2,1,136.84,out
MS Dhoni,c Sarfaraz Ahmed b Mohammad Amir,1,2,8,0,0,50.00,out
Vijay Shankar,not out,15,15,27,1,0,100.00,not_out
Kedar Jadhav,not out,9,8,13,1,0,112.50,not_out
Imam-ul-Haq,lbw b Shankar,7,18,23,1,0,38.88,out
Fakhar Zaman,c Chahal b Kuldeep Yadav,62,75,112,7,1,82.66,out
Babar Azam,b Kuldeep Yadav,48,57,83,3,1,84.21,out
Mohammad Hafeez,c Shankar b Pandya,9,7,13,0,1,128.57,out
Sarfaraz Ahmed(c),b Shankar,12,30,42,0,0,40.00,out
Shoaib Malik,b Pandya,0,1,3,0,0,0.00,out
Imad Wasim,not out,46,39,57,6,0,117.94,not_out
Shadab Khan,not out,20,14,24,1,0,142.85,not_out
Chris Gayle,c Mushfiqur Rahim b Mohammad Saifuddin,0,13,17,0,0,0.00,out
Evin Lewis,c sub (Sabbir Rahman) b Shakib Al Hasan,70,67,105,6,2,104.47,out
Shai Hope,c Liton Das b Mustafizur Rahman,96,121,191,4,1,79.33,out
Nicholas Pooran,c Soumya Sarkar b Shakib Al Hasan,25,30,29,2,1,83.33,out
Shimron Hetmyer,c Tamim Iqbal b Mustafizur Rahman,50,26,34,4,3,192.30,out
Andre Russell,c Mushfiqur Rahim b Mustafizur Rahman,0,2,5,0,0,0.00,out
Jason Holder(c),c Mahmudullah b Mohammad Saifuddin,33,15,18,4,2,220.00,out
Darren Bravo,b Mohammad Saifuddin,19,15,36,0,2,126.66,out
Oshane Thomas,not out,6,11,20,0,0,54.54,not_out
Tamim Iqbal,run out (Cottrell),48,53,87,6,0,90.56,out
Soumya Sarkar,c Gayle b Russell,29,23,38,2,2,126.08,out
Shakib Al Hasan,not out,124,99,170,16,0,125.25,not_out
Mushfiqur Rahim,c Hope b Thomas,1,5,11,0,0,20.00,out
Litton Das,not out,94,69,112,8,4,136.23,not_out
James Vince,c Mujeeb Ur Rahman b Dawlat Zadran,26,31,37,3,0,83.87,out
Jonny Bairstow,c & b Gulbadin Naib,90,99,115,8,3,90.90,out
Joe Root,c Rahmat Shah b Gulbadin Naib,88,82,155,5,1,107.31,out
Eoin Morgan(c),c Rahmat Shah b Gulbadin Naib,148,71,77,4,17,208.45,out
Jos Buttler,c Mohammad Nabi b Dawlat Zadran,2,2,8,0,0,100.00,out
Ben Stokes,b Dawlat Zadran,2,6,14,0,0,33.33,out
Moeen Ali,not out,31,9,15,1,4,344.44,not_out
